ghi_10min,air_temp,
497.8,13.88,1
500,14.1,1
500.7,14.5,1
497.2,14.7,1
496.4,15.2,1
492.2,15,1
486,15.6,1
480.7,15.9,1
471.4,15.7,1
460.9,15.7,1
449.2,15.6,1
435.9,16.1,1
421.2,15.8,1
404.4,15.92,1
385.5,16.26,1
365,16.4,1
345.1,16.4,1
323.5,16.4,1
301.3,16.6,1
279.2,17.02,1
255.8,17.5,1
230.5,17.8,1
206.1,17.9,1
180.2,18,1
159.1,17.9,1
125.5,17.88,1
108.6,17.2,1
38.73,16.88,1
31.83,16.6,1
15.97,16.38,1
4.39,16,1
4.41,3.74,1
6.21,3.9,1
26.65,3.74,1
51.8,4.2,1
80.2,4.4,1
106.6,5.04,1
132,5.7,1
161.3,6.2,1
188.7,6.9,1
215.9,8.32,1
241,9.2,1
264.6,9.72,1
285.9,10.64,1
308.9,11.3,1
330.5,12.1,1
349.6,12.36,1
369.9,13.04,1
388,13.1,1
404.3,12.8,1
420.9,13.12,1
434.3,13.9,1
445.5,14.16,1
455.6,14.5,1
465.8,14.64,1
473.7,14.96,1
479.5,15.3,1
484.1,15.38,1
486.2,16.08,1
488.5,16.4,1
486.5,16.9,1
488.8,17.18,1
484.4,16.8,1
479.5,16.8,1
471.9,17.1,1
461.6,17.86,1
451.7,17.84,1
441.4,17.8,1
427.9,17.92,1
413.1,18.14,1
399.1,17.96,1
384.8,18.3,1
365.4,18.2,1
343.9,18.38,1
323.9,18.5,1
303.1,18.4,1
282.3,18.4,1
260.4,18.7,1
237.1,18.5,1
213,18.5,1
187.6,18.4,1
161.5,18.18,1
154.3,17.98,1
136.3,17.8,1
55.25,17.6,1
29.73,17.18,1
32.23,16.9,1
12.04,16.6,1
2.48,16.3,1
1.82,5.02,1
13.88,5.4,1
24.36,5.84,1
36.19,5.9,1
58.09,6,1
69.82,5.8,1
83.2,5.8,1
92.4,6.04,1
161.3,6.62,1
120.3,6.9,1
148.5,7.1,1
258.8,7.64,1
210.4,8.92,1
178.7,9.3,1
198.8,9.3,1
231,9.5,1
383.1,10.06,1
390.7,11.38,1
296.4,12.38,1
230.9,13.1,1
189.3,12.8,1
195.4,12.66,1
240.5,12.76,1
366,13.46,1
231.7,14,1
236.4,14.4,1
401.1,14.2,1
209.9,14.3,1
149.9,14.2,1
201.5,14.1,1
249,14.3,1
251.3,14.6,1
243.5,14.72,1
160.4,14.8,1
203.6,14.8,1
374.8,15,1
421.9,15.56,1
196.8,15.86,1
212.7,15.7,1
200.3,15.5,1
243,15.8,1
520.3,16.16,1
199.6,16.5,1
254,16.4,1
372.5,16.36,1
323.4,16.84,1
285.6,17.7,1
54.85,16.88,1
83.3,16.02,1
79.48,15.7,1
190.7,15.5,1
70.06,15.5,1
47.43,15.3,1
32.16,15.04,1
15.92,14.84,1
8.59,14.7,1
2.29,14.66,1
1.23,5.28,1
1.46,5.1,1
10.02,5.04,1
26.13,4.44,1
39.32,4.6,1
47.97,4.54,1
72.3,4.84,1
97.7,5.28,1
117.3,6.26,1
120.1,6.76,1
108,7.3,1
95.9,7.78,1
61.87,7.8,1
56.06,7.8,1
52.12,7.7,1
68.32,7.6,1
166,7.7,1
334.3,8.36,1
374.7,9.54,1
404.1,10.42,1
415.3,11.88,1
425.8,12.9,1
455.9,13.26,1
281.1,13.8,1
413.7,14,1
526.1,14.62,1
537.2,14.8,1
519,15.1,1
545.2,15.84,1
526.3,16.08,1
358.2,16,1
464.8,15.88,1
506.7,16.88,1
477.9,17,1
487.9,16.96,1
465.3,16.74,1
445.2,17.04,1
433.5,17.36,1
421.2,17.2,1
405.5,18.12,1
389.3,17.32,1
374.8,17.86,1
398.1,17.88,1
285.3,18.24,1
358.9,18,1
293.7,17.7,1
261.6,18.02,1
234.2,17.8,1
238.6,17.6,1
202.9,17.8,1
181.5,17.8,1
147.5,17.5,1
125.8,17.2,1
118.2,16.6,1
54.87,16.5,1
37.39,16.2,1
36.79,15.8,1
17.49,15.3,1
2.72,8.7,1
2.55,8.9,1
14.69,8.9,1
25.18,8.9,1
49.78,8.9,1
47.78,8.8,1
128.4,8.8,1
115.5,9.2,1
169,9.7,1
131.5,9.9,1
148.7,9.7,1
284.1,9.86,1
275.9,10.6,1
319.2,11.14,1
311.6,11.3,1
456.3,11.7,1
149.8,12.2,1
396.4,11.8,1
251.3,11.7,1
299.4,11.44,1
229,10.74,1
484.3,10.7,1
374.4,10.6,1
247.4,11,1
315.3,10.9,1
291.6,11,1
210.5,11.2,1
236.7,11.22,1
432.5,11.9,1
402.1,12.5,1
240.1,12.88,1
106.3,12.8,1
185.9,12.5,1
260.7,12.9,1
238,13.18,1
231.5,13.16,1
211,13.1,1
226.5,12.86,1
373.3,12.5,1
371.6,12.64,1
313.1,13.46,1
341.8,13.16,1
274.3,13.2,1
311.2,13.52,1
267.6,13.4,1
125.2,13.3,1
213.9,13.1,1
254.8,13.28,1
223.8,13.44,1
220.1,13.6,1
198,13.78,1
158,13.9,1
145.9,13.8,1
143,13.9,1
72.43,13.04,1
45.66,11.8,1
36.99,11.2,1
10.97,10.66,1
1.23,7.72,1
1.04,7.48,1
8.17,7.1,1
22.89,7.4,1
27.98,7.7,1
29.4,7.7,1
55.92,7.54,1
160.5,8.36,1
113.1,9.1,1
152.1,9.5,1
157.4,10,1
198.3,10.5,1
263.2,10.92,1
349.2,11.24,1
380.5,11.5,1
216.2,11.62,1
429.9,12.04,1
189.8,11.5,1
102.2,11.5,1
266.9,11.56,1
275.6,12,1
258.5,11.9,1
208.1,12,1
190.2,11.9,1
163.7,11.5,1
147.5,11.2,1
160.1,11.24,1
193.5,11.46,1
220.8,11.5,1
251.4,12.14,1
259.3,12.28,1
231.4,13.06,1
323.7,13.08,1
515.4,13.8,1
484,14.36,1
457,14.46,1
450.6,14.94,1
437.1,14.22,1
416.7,14.8,1
408.5,15.5,1
390.6,15,1
379.3,15.56,1
357.4,15.1,1
322.6,15.2,1
330.3,15.3,1
273.6,15.3,1
142.2,15.78,1
88.9,15.38,1
242.3,15.2,1
215.5,15.5,1
118.3,15.2,1
94.2,15.02,1
63.73,15,1
43.06,14.8,1
28.28,14.7,1
21.86,14.7,1
20.12,14.6,1
5.59,14.52,1
2.21,3.1,1
2.63,3.54,1
17.82,3.56,1
47.14,3.5,1
73.39,3.82,1
99.9,4.1,1
113,4.7,1
103.3,5.52,1
115.6,6.14,1
140.5,6.64,1
179.8,7.3,1
229.3,8.14,1
268.8,9.36,1
285.5,10,1
317.4,10.3,1
316.6,10.5,1
365.6,10.8,1
354.5,10.8,1
368.8,10.96,1
383.2,10.94,1
391.5,11.44,1
430.4,12.3,1
439.7,12.3,1
457,12.8,1
465.3,13.62,1
462.4,14.02,1
488.5,13.66,1
469,14.1,1
495,14.12,1
452.3,14.26,1
469.5,14.54,1
471.5,14.52,1
392.4,15.06,1
425.4,14.9,1
462.8,15.2,1
459.5,15.4,1
444.4,15.62,1
412.1,15.94,1
419,15.74,1
295.2,15.8,1
329.7,15.56,1
351.7,15.7,1
327,15.7,1
270.9,15.5,1
259.4,15.64,1
302.4,15.7,1
212.8,15.94,1
228.7,15.9,1
249.8,15.9,1
238.7,15.9,1
141.7,16,1
135.3,15.8,1
149.1,15.7,1
113.3,15.6,1
77.34,15.4,1
37.06,15.2,1
33.33,15.1,1
13.65,14.74,1
1.97,14.5,1
0.59,7.8,1
7.82,8.4,1
20.54,9,1
31.68,9.28,1
42.39,9.7,1
47.78,9.9,1
55.11,10.2,1
52.68,10.6,1
65.3,10.88,1
72.59,11,1
68.81,11.1,1
69.24,11.24,1
92.4,11.4,1
106.1,11,1
93.2,10.8,1
67.84,10.7,1
67.31,10.4,1
63.58,10.6,1
44.14,10.8,1
53.09,11.1,1
65.15,11.28,1
68.78,11.4,1
115.1,11.5,1
105,11.7,1
67.3,11.9,1
65.38,11.8,1
50.42,11.66,1
62.38,11.2,1
70.04,11.2,1
92.3,11.5,1
111.8,11.7,1
68.15,11.8,1
86.2,11.9,1
71.58,11.7,1
120,11.3,1
73.12,11.1,1
46.84,11.36,1
73.59,11.5,1
88,11.7,1
95.8,11.9,1
116.3,12,1
83.1,11.98,1
95.9,11.6,1
121.4,11.3,1
96.9,11.4,1
52.52,11.68,1
46.62,11.7,1
73.31,11.7,1
38.81,11.6,1
22.72,11.4,1
40.08,11.4,1
33.85,11.58,1
26.65,11.64,1
33.08,11.7,1
25.6,11.7,1
30,11.62,1
5.8,11.5,1
1.72,11.6,1
2.46,5.9,1
5.03,5.6,1
20.5,5.3,1
38.22,5.4,1
45.63,5.4,1
79.33,5.7,1
109.9,5.96,1
156.6,6.1,1
207.4,6.56,1
233.8,6.7,1
259.7,7.46,1
280.3,7.04,1
304.2,6.76,1
327.9,7.16,1
348.8,7.9,1
370.4,8.5,1
388.4,8.9,1
406.9,9.16,1
423.1,9.5,1
439.7,9.78,1
459.7,10.42,1
505.4,10.6,1
368.9,11,1
340.1,10.92,1
428.4,11,1
519.7,11,1
519.3,11.4,1
519.1,11.5,1
518.6,12,1
517.1,12.2,1
516.5,12.4,1
511.5,12.5,1
507.5,12.8,1
502.8,12.7,1
494.7,12.9,1
485.8,13.16,1
473.6,12.9,1
461.1,13.2,1
449.5,13.5,1
434,13.7,1
417.4,13.96,1
399,14,1
380.7,14.1,1
360.7,14.2,1
337.7,14.1,1
314.8,14.1,1
291.1,14.3,1
267.2,14.4,1
235.9,14.4,1
216.3,14.6,1
191.7,14.6,1
166.1,14.7,1
160.6,14.74,1
153.2,14.7,1
47.61,14.5,1
40.3,14.3,1
38.39,14.1,1
7.87,13.9,1
3.08,3.2,1
2.42,2.9,1
16.8,2.9,1
45.63,3.06,1
76.05,3.3,1
106.5,3.9,1
130.4,4.4,1
157,5,1
185.4,5.6,1
213.1,6.4,1
239.1,7.76,1
265.3,8.1,1
290,9,1
313.5,10,1
336.3,11.3,1
358.5,11.8,1
378.9,12.36,1
399.2,12.6,1
417.9,12.58,1
434,13.98,1
447.9,13.8,1
462.2,13.8,1
475.1,14.26,1
485.5,15,1
494,14.82,1
500.1,15.04,1
508.7,15.24,1
514.1,16.14,1
518.6,16,1
518.8,16,1
517.5,16.68,1
513,16.6,1
513,16.7,1
508.1,16.86,1
502.2,16.98,1
494,16.42,1
482.8,16.46,1
470.2,17.3,1
457.2,16.7,1
441.4,17.4,1
430.3,17.48,1
413.9,17.6,1
392.2,17.36,1
370.4,17.96,1
350.3,17.6,1
327,17.34,1
306.7,17.4,1
282.3,17.5,1
259.3,17.1,1
229.7,17.3,1
195.9,17.2,1
179.5,17.2,1
154.7,16.58,1
155.3,16.56,1
115.3,16.2,1
34.82,16,1
31.04,15.6,1
19.62,15.3,1
5.53,14.7,1
4.67,2.5,1
5.91,2.88,1
29.61,3.1,1
57.97,3.94,1
88.9,4.66,1
116.6,4.1,1
141.3,5.5,1
170,5.8,1
198.2,6.32,1
225.6,7.36,1
250.4,8.82,1
276.1,9.72,1
299.3,10.64,1
323.5,11.7,1
346.1,12.06,1
368,12.14,1
388.1,12.96,1
407.9,13.6,1
427,13.64,1
441.8,14.5,1
455.4,14.12,1
468.6,14.44,1
484.6,14.7,1
491.7,15,1
497.9,15.1,1
506.4,15.1,1
514.1,15.2,1
518.1,16.04,1
521,15.6,1
521.9,16.2,1
520,16.1,1
516.8,16.76,1
513.8,16.8,1
509.4,16.42,1
501.9,16.7,1
492.8,16.98,1
481.2,17.74,1
469.2,17.66,1
456.5,17.74,1
442.4,18.14,1
424,17.8,1
407.8,18.18,1
386,18.08,1
366.6,18.3,1
344.9,17.9,1
322.3,17.8,1
299.4,17.74,1
275.3,18.5,1
249,18.5,1
224,18.2,1
197.8,17.8,1
171.6,18.2,1
144,18,1
131.8,17.7,1
74.53,17.4,1
36.86,17.1,1
40.69,16.58,1
12.22,15.9,1
2.88,15.2,1
2.99,5.4,1
11.74,5.1,1
34.98,5.1,1
62.99,5.5,1
92.1,5.8,1
118,6.3,1
146.4,6.7,1
175.1,7.4,1
204,8.2,1
229.5,9.24,1
254.8,10.28,1
279.4,11.48,1
303.9,11.7,1
328.3,12.6,1
351.2,12.84,1
372,13.88,1
392.1,14.1,1
410.7,14.42,1
428.7,14.4,1
445.3,14.7,1
458.8,14.9,1
471.7,15.2,1
483.4,15.56,1
493.4,16,1
503.9,16.3,1
510.7,16.5,1
516,16.86,1
519.4,17.16,1
522.3,17.4,1
520.8,17.4,1
522.3,17.7,1
520,18.3,1
514.6,18.52,1
506.4,18.7,1
501,18.86,1
492,19.1,1
478.5,19.06,1
465.9,19.1,1
453.3,19.26,1
438.6,19.4,1
423.9,19.7,1
405.7,20.16,1
386.7,20.2,1
366.8,20.2,1
346.2,20.6,1
324.9,20.8,1
298.1,20.7,1
273.2,20.8,1
248.6,20.4,1
220.5,20.54,1
192.6,20.8,1
165,20.3,1
159.1,20,1
111.8,19.8,1
58.93,19.6,1
38.56,19.22,1
24.01,18.72,1
10.18,18.3,1
1.87,17.46,1
1.71,4.92,1
15.93,5.2,1
41.64,5.1,1
73.16,5.36,1
105.9,5.6,1
132.3,5.94,1
159.6,6.3,1
189.2,6.72,1
219.3,7.58,1
245,8.64,1
269.4,9.18,1
294.7,10.54,1
323.1,11.28,1
348,11.44,1
371.1,12.52,1
391.6,13.58,1
411.4,14.66,1
430.7,15,1
450.5,15.5,1
468.4,15.7,1
478,16.3,1
493.7,16.4,1
507.9,16.62,1
516.4,17.2,1
523.2,17.48,1
532.4,18.2,1
536.5,18.98,1
538.3,19.4,1
538.7,19.7,1
543.6,19.56,1
539.1,19.62,1
535.8,19.1,1
531.9,19.3,1
525.2,19.62,1
518.6,19.88,1
510.9,19.8,1
497.8,20.22,1
485.2,20.7,1
473.4,20.74,1
455.5,21.46,1
436.5,21.18,1
416.3,21.4,1
395.1,21.6,1
371.8,21.46,1
352.3,21.5,1
327.2,21.4,1
304.2,21.46,1
277.4,21.6,1
251,21.4,1
225.8,21.4,1
199.4,20.9,1
171.2,20.92,1
164.4,20.7,1
116.7,20.3,1
87.1,19.84,1
45.18,19.32,1
28.26,18.74,1
11.52,18.06,1
2.27,17.1,1
1.78,6.4,1
18.64,6.5,1
47.11,6.6,1
79.37,6.4,1
112.8,6.6,1
138,7,1
166.2,7.5,1
195.5,8.14,1
223.9,9.3,1
251,10,1
277,11.66,1
302.4,12.44,1
327.1,13.06,1
350.8,13.4,1
373.4,13.76,1
394,14.9,1
414.6,15.4,1
433.9,15.8,1
451.4,16.4,1
467.1,15.9,1
482.1,16.18,1
494.6,16.7,1
506,17.6,1
516.2,17.5,1
524.6,18.1,1
531.6,18.4,1
536.6,18.86,1
540.9,19.14,1
542.5,19.4,1
543.3,19.9,1
541.1,19.9,1
537.7,20,1
530.9,20.2,1
525.5,19.9,1
520.2,20.2,1
509.8,20.2,1
498.6,20.1,1
486.8,20.6,1
474.9,20.44,1
457.9,20.6,1
441.2,20.9,1
422.2,20.9,1
401.6,21.06,1
382.2,21.08,1
360.9,21,1
336.9,21.1,1
310.3,21.2,1
282.2,21.1,1
256.5,20.9,1
229.8,20.9,1
201.9,20.8,1
173.9,20.6,1
155.5,20.4,1
141.4,20.16,1
112.8,19.9,1
47.89,19.6,1
30.32,19.2,1
10.24,18.7,1
2.44,18.14,1
2.15,1.62,1
14.47,3.28,1
42.24,3.76,1
74.11,3.68,1
107.3,4.14,1
132.1,5,1
160.1,6.1,1
189.3,7.14,1
218,8.24,1
245.1,9.66,1
271.5,10.64,1
297.7,11.76,1
323.5,12.66,1
347.9,13.3,1
370.4,14.4,1
392,14.74,1
413.1,15.76,1
432.9,16.56,1
450.1,16.86,1
466.1,17.68,1
480.2,18.1,1
493.7,18.62,1
505.3,18.78,1
515.5,18.94,1
524.4,19.58,1
532.5,20.24,1
538.7,20.5,1
542.8,20.64,1
544.4,21.1,1
544.9,21.1,1
543.6,21,1
541.2,20.9,1
537.8,21.24,1
529.9,21.28,1
520.6,20.4,1
512.4,20.02,1
501.1,20.5,1
489.2,20.78,1
475.5,20.36,1
460.7,20.2,1
445.1,20.38,1
425.9,20.28,1
407.2,20,1
385.9,20.1,1
362.7,20.4,1
339.6,20.06,1
315.9,20.34,1
291.3,20.4,1
267,20.7,1
240.7,20.9,1
213.1,21,1
185.5,20.6,1
157.7,20.3,1
146.4,20.14,1
112.9,19.8,1
49.38,19.5,1
41.19,18.9,1
15.37,18.24,1
5.73,17.36,1
4.82,3.86,1
7.1,2.5,1
35.19,2.6,1
66.62,2.7,1
100.3,4.52,1
126.9,5.5,1
152.8,5.3,1
179.9,6.2,1
207.1,7.36,1
234.2,8.44,1
260.6,9.36,1
286.2,10.66,1
311.2,11.6,1
335.8,12.36,1
361.2,13.08,1
384.9,13.56,1
405.6,13.8,1
425.2,14.5,1
442.1,14.6,1
459.2,15.04,1
474.2,15.88,1
489.1,16.3,1
503.2,17,1
513.7,17.6,1
522.4,17.68,1
529.6,18.3,1
536.7,18.14,1
540.7,18.28,1
544.6,18.7,1
547,18.98,1
546.2,19.1,1
542.9,19.3,1
537.3,19.5,1
534,19.7,1
525.4,19.9,1
516.9,20,1
505.8,20.2,1
494,20.3,1
482.4,20.7,1
468.2,20.9,1
453.8,20.98,1
435,21.1,1
416,21.1,1
397.4,21.2,1
377.1,21.16,1
354.3,21.2,1
330.8,21.3,1
305.3,21.3,1
280.8,21.2,1
253.7,21.2,1
227.3,20.9,1
200,20.8,1
171.9,20.5,1
148.4,20.22,1
113.7,20.1,1
100.4,19.9,1
57.74,19.4,1
21.26,18.98,1
8.28,18.7,1
3.13,4.44,1
3.54,3.22,1
27.23,2.6,1
39.49,3.5,1
38.09,2.94,1
102,3.34,1
156.2,5.06,1
186.4,6.76,1
213.7,7.92,1
238.6,9.42,1
263.8,10.3,1
289.7,10.98,1
315.8,11.44,1
340.7,12.4,1
364.4,13.28,1
386.9,14,1
408.8,14.1,1
428.9,14.76,1
447.9,15.2,1
466.6,15.8,1
483.4,16,1
496.3,16,1
513.5,17.24,1
525.6,17.4,1
536.4,17.86,1
545.2,18.74,1
553.1,18.7,1
566.8,18.94,1
572.7,18.7,1
573.1,19.28,1
567.9,19.54,1
535.1,19.64,1
319.7,19.7,1
193.9,19.14,1
573.6,18.9,1
559.2,19.3,1
542.9,19.7,1
527,19.6,1
511.1,20,1
493.7,20.5,1
473.8,20.5,1
454.9,20.6,1
434.8,20.96,1
414.1,20.88,1
392.8,21.1,1
370.2,21.18,1
345.7,21.2,1
321.6,21.52,1
297.4,21.44,1
271.3,21.12,1
245.4,20.9,1
218.3,21.1,1
190.9,21.06,1
162.5,20.9,1
157.8,20.8,1
126.4,20.5,1
69.72,19.9,1
49.05,19.12,1
13.63,18.5,1
4.76,17.68,1
5.49,2.64,1
6.43,2.5,1
32.83,4.08,1
81.9,3.74,1
103.9,4,1
132.8,4.96,1
159.8,6.06,1
116.2,7.26,1
131.4,7.74,1
167.9,8.18,1
201.3,9.06,1
315.9,9.8,1
349.3,10.68,1
347.6,11.94,1
405.1,12.7,1
365.9,12.9,1
281.7,12.8,1
320.1,13.3,1
377.4,14.04,1
378.3,14.86,1
512.1,15.1,1
439,15.5,1
557.7,15.96,1
552.3,16.8,1
468.2,17.2,1
509.2,17.5,1
458.5,17.62,1
534.4,17.74,1
537.5,17.9,1
494.7,18.26,1
571,18.4,1
540.4,18.5,1
495.3,18.5,1
518.9,18.6,1
536,18.8,1
548.9,19,1
528.4,18.7,1
522,18.7,1
501.1,19.1,1
443.2,18.9,1
444.8,19.1,1
462.4,19.24,1
427.7,19.9,1
418.2,19.9,1
388.2,19.7,1
331.8,19.8,1
340.7,19.5,1
296,19.5,1
295.8,19.8,1
268.8,20.04,1
212.3,19.74,1
129.9,19.7,1
199.5,19.8,1
166.4,19.7,1
137,19.8,1
135.7,19.7,1
73.1,19.48,1
27.35,19.2,1
12.91,18.96,1
3.5,18.22,1
5.13,2.6,1
10.3,2.1,1
41.33,3.1,1
87.4,4.04,1
107.8,4.68,1
133.9,5,1
162,5.94,1
190.5,6.76,1
220,8.12,1
246.6,9.62,1
271.6,11.1,1
297.9,12.4,1
323.1,12.4,1
347.1,12.4,1
369,12.58,1
391.5,13.1,1
413,13.88,1
431.9,14.2,1
449.7,14.24,1
467.5,15.14,1
482.4,14.9,1
496.1,15.2,1
508.8,16.1,1
519.7,16.24,1
528.5,16.22,1
537.7,16.3,1
541.9,17.24,1
546.3,16.76,1
548.8,17.56,1
549.3,17.7,1
549.8,17.5,1
547.8,17.6,1
543,18.3,1
537,18.46,1
533.8,18.64,1
519.7,18.78,1
509.7,18.66,1
497.8,19.04,1
488.3,19.04,1
471.8,19.2,1
453.3,19.2,1
439.7,19.36,1
419.7,19.06,1
394.6,19.4,1
375.8,18.5,1
353.6,19.5,1
328.7,18.96,1
304.9,18.86,1
277.3,18.94,1
251.2,18.52,1
225.8,18.66,1
198.3,18.9,1
170.3,18.5,1
143.4,18.7,1
120.5,18.48,1
106,18.1,1
58.09,17.68,1
21.34,17.1,1
11.72,16.6,1
2.7,15.84,1
2.27,3.28,1
4.11,3.3,1
8.63,3.12,1
16.59,3.3,1
24.69,3.6,1
112.2,3.52,1
140.7,4.82,1
173.7,5.9,1
200.6,6.98,1
221.1,8.3,1
252.4,8.8,1
281.4,9.76,1
304.3,11.06,1
330.8,11.24,1
361.4,11.6,1
382.8,11.78,1
403.1,12.5,1
421.2,13.14,1
435.2,13.5,1
452,14.16,1
468.5,14.96,1
477.7,15.5,1
493.9,15.8,1
507.8,16.32,1
518.5,16.92,1
527.9,17.08,1
535,17.7,1
540.5,18.06,1
544.9,19.06,1
547.8,19.4,1
549,19.36,1
546.2,18.94,1
541.8,18.9,1
534.3,19,1
526.3,19.44,1
519.9,19.66,1
508.1,19.8,1
500.5,20.02,1
485.4,19.7,1
472.8,20.6,1
456.7,20.72,1
438.4,21.4,1
421.2,21.1,1
398.4,21.22,1
375.4,20.9,1
352,21.3,1
325.5,21.44,1
299.6,20.9,1
275.3,21.4,1
251.8,21.2,1
226.1,20.82,1
196.8,21,1
168.1,20.5,1
140.4,20.4,1
118.4,20.36,1
101,20.04,1
59.38,19.54,1
23.51,19.08,1
14.55,18.62,1
3.72,18.2,1
6,11.5,1
9.46,10.4,1
35.15,10,1
78.79,10.3,1
96.2,11.2,1
120.6,11.84,1
148.5,12.2,1
178.6,13.06,1
205,14.1,1
233.3,14.2,1
258.8,15.28,1
285.8,16,1
310.2,17.16,1
333.5,18,1
356.2,19.38,1
377,19.9,1
397.1,20.72,1
416.5,21.32,1
434,22.16,1
445.8,22.66,1
467,23.02,1
479.4,22.96,1
484.5,23.72,1
492,24.06,1
517.8,24.5,1
520.7,24.52,1
527.7,23.9,1
537.1,24.54,1
534.9,24.5,1
538.7,24.62,1
541.6,25.18,1
539.2,25.24,1
537.1,25.66,1
543.6,24.52,1
547.2,24.6,1
552.6,24.82,1
373.3,24.2,1
499.9,24.88,1
488.5,25.24,1
476.4,25.66,1
456.3,25.3,1
442,25.3,1
425.6,26.22,1
405.4,26.2,1
386.2,26.1,1
360.2,25.76,1
338.1,25.5,1
313.6,25.66,1
289.4,25.7,1
265.6,25.04,1
242.9,25.56,1
215.1,25,1
189.6,24.84,1
161.6,24.8,1
131.5,24.5,1
113.9,24.1,1
101.7,23.5,1
16.52,22.8,1
7.04,21.86,1
2.59,20.82,1
1.39,7.54,1
3.02,7.36,1
11.44,7.2,1
25.75,7.4,1
44.78,7.74,1
63.63,8.68,1
80.3,8.9,1
101,9.3,1
105,9.68,1
113.6,10.3,1
149.6,10.7,1
266.9,11.62,1
388.5,13.34,1
361.9,14.46,1
372.6,14.9,1
385,15.5,1
405.6,15.5,1
424.2,15.7,1
442.3,16.08,1
460.3,16.8,1
478.5,17.4,1
494.9,17.7,1
505.2,18.2,1
516.7,18.3,1
526.5,18.8,1
534.4,19,1
542.7,19.22,1
547.3,19.14,1
553.1,19.64,1
554.6,19.8,1
556,20,1
554.6,20.5,1
552,20.64,1
546.7,20.94,1
541.4,21.54,1
533,21.3,1
530.3,21.5,1
515.4,21.84,1
501.2,22.1,1
488.9,21.78,1
472.6,22.14,1
458.3,22.56,1
439.5,22.8,1
420.8,22.8,1
400,22.66,1
379.3,22.9,1
356.7,23.22,1
332.7,23.1,1
307.9,23.1,1
282.7,22.98,1
257.7,22.6,1
230.9,22.72,1
204.5,22.62,1
176.3,22.5,1
147.3,22.5,1
134.3,22.3,1
111.9,22.1,1
47.01,21.48,1
21.8,20.96,1
6.4,20.52,1
1.3,20,1
0.89,8,1
9.45,8,1
23.34,8.1,1
38.23,8.14,1
54.39,8.3,1
69.46,8.02,1
81.4,7.1,1
89.8,7.22,1
94.8,7.5,1
96.8,8,1
100.4,8.3,1
109.9,8.76,1
110.8,9.3,1
113.4,9.5,1
121.1,9.9,1
143.7,10.3,1
167.7,11,1
166.6,11.4,1
197.8,12,1
177.8,12.7,1
164.4,13.1,1
171.6,13.4,1
188.3,13.7,1
215.7,13.7,1
241.5,13.8,1
253.7,14.1,1
227,14.4,1
216.5,14.78,1
