ghi,air_temp,,
521.7,13.74,544,1
620.9,16.4,545,1
732.9,16.5,546,1
790.5,18.48,547,1
734.5,20.1,548,1
636.8,20.9,549,1
526.1,21.9,550,1
302.8,21.18,551,1
96.4,20.38,552,1
20.78,7.2,553,1
226.2,11.4,554,1
420.6,14.7,555,1
571.4,15.84,556,1
504.9,17.56,557,1
603.1,19.58,558,1
505.5,20,559,1
713,20.98,560,1
297.9,20.92,561,1
353.3,20.4,562,1
180.8,20.3,563,1
17.12,19.02,564,1
21.16,13.1,565,1
125.6,14.96,566,1
141.2,16.3,567,1
211.1,18.7,568,1
174.2,19.3,569,1
320.4,20.5,570,1
403.7,21.82,571,1
283.4,21.98,572,1
196.3,21.9,573,1
142.7,21.4,574,1
48.42,20.2,575,1
1.64,18.6,576,1
59.69,12.1,577,1
173.4,13.14,578,1
192.1,16,579,1
832,16.2,580,1
164.9,17.64,581,1
786.6,18.56,582,1
749.5,19.18,583,1
642.9,18.44,584,1
497.7,18.96,585,1
311.8,18.5,586,1
110.2,17.9,587,1
6.5,7.4,588,1
213.8,8.4,589,1
414.7,10,590,1
588.4,11.8,591,1
716.6,13.96,592,1
792.6,16.84,593,1
801,19.2,594,1
737.5,21.1,595,1
625.8,23.4,596,1
468.8,24.88,597,1
276.3,23,598,1
75.18,20.9,599,1
26.14,14.4,600,1
263.6,16.56,601,1
464.7,18.7,602,1
632.4,20.06,603,1
752.2,21.9,604,1
810,23.48,605,1
806,25.06,606,1
736.3,25.1,607,1
611.1,25.4,608,1
439.5,23.56,609,1
242.8,22.5,610,1
42.23,21,611,1
84.1,10.8,612,1
290.9,14.1,613,1
488.3,17.84,614,1
649.2,20.4,615,1
763.6,22.3,616,1
818,23.1,617,1
807,23.6,618,1
729.7,23.7,619,1
602.9,24.5,620,1
367.8,24.8,621,1
203.3,23.9,622,1
25.52,22.4,623,1
136.9,8.6,624,1
338,12.62,625,1
535,14.84,626,1
453.9,17.24,627,1
786.4,19.54,628,1
791.9,20.52,629,1
763.6,22.52,630,1
686.1,23.2,631,1
559,23.5,632,1
383.3,23.5,633,1
188.4,22.8,634,1
13.28,21.1,635,1
105.3,8.06,636,1
311,13.54,637,1
503.2,17.1,638,1
661.5,18.94,639,1
763.2,21.12,640,1
807,22.24,641,1
780.2,23.62,642,1
701.1,25.74,643,1
567.9,26.68,644,1
392.2,26.42,645,1
179.2,24.88,646,1
9.64,23.12,647,1
132.8,10.44,648,1
333.5,16.14,649,1
503.8,20.5,650,1
599.8,22.22,651,1
737.4,24.4,652,1
745.8,25.24,653,1
737.3,25.4,654,1
703.8,25.82,655,1
562.8,26.7,656,1
389.7,26.08,657,1
191.6,25.26,658,1
9.6,22.48,659,1
121.7,8.82,660,1
321.2,12.2,661,1
508.8,14.7,662,1
659.9,15.62,663,1
763,16.96,664,1
808,17.4,665,1
793.1,18.3,666,1
713.5,19.3,667,1
578.3,19.74,668,1
400.8,19.2,669,1
201.9,18.8,670,1
10.75,17.8,671,1
124.4,7.8,672,1
327,10.34,673,1
519,13.1,674,1
676.6,15,675,1
786.3,17.88,676,1
834,19.82,677,1
814,20.6,678,1
725.9,21.16,679,1
592.4,21.46,680,1
386.6,21.68,681,1
226.7,21.46,682,1
23.34,20.14,683,1
97.3,9.6,684,1
298.1,12.9,685,1
494.9,16.9,686,1
649.7,19.64,687,1
763.4,21.6,688,1
820,21.82,689,1
811,22.36,690,1
722.9,23.34,691,1
628.1,24.4,692,1
548.5,24.34,693,1
308.3,23.9,694,1
46.73,21.86,695,1
61.17,9.98,696,1
167.1,13.7,697,1
307.2,17.9,698,1
574.1,19.5,699,1
686.5,21.28,700,1
815,22.72,701,1
812,24.22,702,1
745.6,24.6,703,1
627.3,25.1,704,1
467.2,25,705,1
273.2,24.3,706,1
39.65,22.9,707,1
15.76,7.2,708,1
219.8,10.24,709,1
337.7,13.14,710,1
615.5,16.3,711,1
765.4,19.46,712,1
587.7,20.7,713,1
827,22.54,714,1
859,24.1,715,1
668.7,24.9,716,1
504.6,23.94,717,1
309.4,23.88,718,1
116.3,22.9,719,1
3.41,5.6,720,1
185.8,8.76,721,1
389,11.8,722,1
571.7,14.8,723,1
714.5,17.16,724,1
801,20,725,1
829,21.62,726,1
792,22.5,727,1
697.3,23.7,728,1
551.3,23.9,729,1
376.1,24.4,730,1
188.5,23.2,731,1
5.12,20.46,732,1
131.5,9.56,733,1
337.9,13.5,734,1
527.7,15.7,735,1
681.6,18.04,736,1
787.1,20.28,737,1
831,22.1,738,1
814,22.9,739,1
727.1,22.98,740,1
592,24.1,741,1
420.3,24,742,1
222.3,23.6,743,1
34.51,22.6,744,1
76.13,9.2,745,1
275.1,13.46,746,1
473.4,17.1,747,1
641.7,19.82,748,1
765.1,22.3,749,1
834,24.44,750,1
833,26.06,751,1
777.7,27.3,752,1
657.8,27.7,753,1
495,27.7,754,1
268.4,26.9,755,1
98.3,25.6,756,1
19.62,8.6,757,1
243.8,11.4,758,1
388.8,13,759,1
378.6,13.5,760,1
264,14.1,761,1
558.3,16.8,762,1
155.7,16.4,763,1
245.6,17.1,764,1
298,17.76,765,1
306.8,18.06,766,1
83.5,17.4,767,1
31.22,14.56,768,1
4.52,13.2,769,1
19.87,9.9,770,1
43.65,9.9,771,1
93.7,10.2,772,1
168.5,10.7,773,1
176,10.52,774,1
182.6,10.5,775,1
174.1,10.5,776,1
275.3,11.7,777,1
499,12.5,778,1
528.2,12.38,779,1
136.7,12.36,780,1
24.81,12.3,781,1
14.82,9.8,782,1
136.7,10.7,783,1
156.6,11.2,784,1
279.1,12.1,785,1
505.6,14.76,786,1
215.8,13.6,787,1
482.6,14.06,788,1
489,17.24,789,1
273.5,16.8,790,1
176,15.88,791,1
191.3,14.66,792,1
42.84,14.8,793,1
1.02,11.1,794,1
40.25,11.9,795,1
189.7,13.2,796,1
269.5,14.4,797,1
342.5,16.4,798,1
808,18.1,799,1
917,19.42,800,1
901,19.9,801,1
355.5,19.6,802,1
331.9,19.46,803,1
233.8,19.4,804,1
89.1,19.1,805,1
20.8,18.1,806,1
11.94,12.9,807,1
33.98,13.74,808,1
43.42,13.3,809,1
53.12,12.7,810,1
30.96,12.4,811,1
74.15,12.3,812,1
76.99,12.5,813,1
79.06,12.3,814,1
76.44,12.3,815,1
43.73,12,816,1
17.63,11.7,817,1
4.72,11.6,818,1
0.5,11.3,819,1
124.6,7.9,820,1
340.7,10.2,821,1
553.5,12.3,822,1
616.4,13.38,823,1
921,14.78,824,1
944,15.58,825,1
865,16.66,826,1
724.2,16.78,827,1
601.2,16.64,828,1
186.7,16.36,829,1
315.3,16.24,830,1
47.7,14.7,831,1
5.77,7.54,832,1
131.1,8.9,833,1
191,11.1,834,1
401.6,11.8,835,1
264.6,12.9,836,1
186.3,12.68,837,1
290.9,13.3,838,1
177.9,13.7,839,1
454.5,14.9,840,1
88,9.8,841,1
11.46,7.62,842,1
17.26,7.4,843,1
12.03,7.4,844,1
32.6,6.4,845,1
30.8,6.7,846,1
38.36,7.1,847,1
258.1,8,848,1
151.6,9.1,849,1
344.8,9.1,850,1
835,11.9,851,1
452.9,12.9,852,1
67.55,11.8,853,1
33.86,7.66,854,1
98.3,8.9,855,1
67.54,9.3,856,1
1.9,6.3,857,1
149.3,6.9,858,1
357.7,10,859,1
670.4,11.1,860,1
833,12.52,861,1
918,13.58,862,1
959,13.8,863,1
240.6,14.94,864,1
668.2,15.28,865,1
670.6,16.08,866,1
502.8,15.6,867,1
304.5,15.9,868,1
104.9,15.1,869,1
6.75,7.7,870,1
140,9.2,871,1
305.2,12.6,872,1
563.2,14.3,873,1
739.1,16.76,874,1
714.1,16.9,875,1
401.9,17.32,876,1
803,17.38,877,1
273.4,17.6,878,1
657.9,18.34,879,1
444.1,18.66,880,1
173.6,17.5,881,1
45.52,17.48,882,1
18.6,9,883,1
33.65,10,884,1
42.45,10.2,885,1
172.1,10.12,886,1
410,12.5,887,1
441.5,14.2,888,1
559.8,14.56,889,1
545.8,15.88,890,1
437.4,16.3,891,1
732.4,16.62,892,1
276,14.6,893,1
241.4,14.8,894,1
16.48,13.1,895,1
110.4,4.26,896,1
298.5,9.7,897,1
498.8,11.8,898,1
669.4,14.1,899,1
798.3,15.44,900,1
874,16.28,901,1
874,18,902,1
835,19.2,903,1
722.5,20.08,904,1
561.6,20.4,905,1
354.5,20.7,906,1
168.6,20.1,907,1
4.17,19.08,908,1
132.5,9.1,909,1
332.9,13.2,910,1
523.9,15.88,911,1
687.4,18.4,912,1
810,19.84,913,1
874,21.8,914,1
875,23.42,915,1
812,26.14,916,1
700.3,25.56,917,1
542.6,25.4,918,1
333.4,25.3,919,1
188,25.02,920,1
3.84,12,921,1
143.6,13.92,922,1
349.8,18.5,923,1
542.1,20.92,924,1
705,23.28,925,1
822,23.98,926,1
881,24.8,927,1
875,25.9,928,1
808,26.5,929,1
683.1,27.26,930,1
520.5,26.94,931,1
328.9,26.26,932,1
132,26.2,933,1
4.15,13.5,934,1
139.3,13.62,935,1
364.2,18.16,936,1
563.6,21.24,937,1
670.4,23.82,938,1
827,25.5,939,1
792.2,27.46,940,1
835,28.04,941,1
823,30.2,942,1
647.8,30.4,943,1
470.2,29.54,944,1
272.7,29,945,1
129.5,27.54,946,1
4.56,11.8,947,1
166.4,13.46,948,1
329.4,17.4,949,1
560,19.16,950,1
701.8,21.86,951,1
835,22.86,952,1
885,25.26,953,1
869,25.92,954,1
762.2,26.8,955,1
700.3,27.26,956,1
255.4,26.9,957,1
375.5,26.5,958,1
67.55,24.5,959,1
6.76,10.2,960,1
173.2,12.66,961,1
380.9,16.28,962,1
573.1,20,963,1
732.5,22.7,964,1
851,24.7,965,1
900,26.7,966,1
892,27.96,967,1
829,28.7,968,1
700.8,29,969,1
531.3,29.5,970,1
342.8,28.6,971,1
58.44,27.2,972,1
3.84,11.2,973,1
63.35,12.3,974,1
343.1,14.58,975,1
441.6,19.84,976,1
486.3,21.4,977,1
778.7,23.5,978,1
915,25.46,979,1
748.7,27.66,980,1
619.6,27.26,981,1
477.1,27.16,982,1
349,27.4,983,1
186.8,24.4,984,1
84.9,22.5,985,1
2.97,8.56,986,1
133.7,9.64,987,1
227.9,11.7,988,1
372.9,12.74,989,1
778,14.2,990,1
742.8,16.66,991,1
879,19.24,992,1
880,19.96,993,1
822,21.78,994,1
714.2,21.8,995,1
551.9,22.4,996,1
361.2,21.94,997,1
168.1,21,998,1
7.05,17.78,999,1
36.87,10.5,1000,1
160.6,11,1001,1
363.7,12.96,1002,1
542.1,16.42,1003,1
834,16.52,1004,1
905,18.7,1005,1
913,20.8,1006,1
861,24.06,1007,1
751.6,26.5,1008,1
600.3,27.04,1009,1
411,26.6,1010,1
211.5,25.8,1011,1
26.11,24.42,1012,1
91.8,9.1,1013,1
290,13.5,1014,1
490.3,16.82,1015,1
678.9,19.06,1016,1
798.2,20.22,1017,1
883,21.9,1018,1
911,23.6,1019,1
869,24.18,1020,1
784.2,25.56,1021,1
629.6,25.32,1022,1
455.6,24.7,1023,1
186.9,23.9,1024,1
66.08,22.48,1025,1
46.06,9.8,1026,1
242.1,13.06,1027,1
445.9,15.66,1028,1
631.2,18.64,1029,1
782.7,19.86,1030,1
877,21.34,1031,1
881,24.26,1032,1
896,24.24,1033,1
873,27.4,1034,1
675.9,27.7,1035,1
485.7,27.84,1036,1
296.6,27.2,1037,1
77.14,26.2,1038,1
3.41,9.7,1039,1
181,13.1,1040,1
390.4,16.36,1041,1
560,19.5,1042,1
732.7,21.74,1043,1
825,23.7,1044,1
819,24.5,1045,1
873,25.72,1046,1
508.7,26.3,1047,1
780.8,26.9,1048,1
294.3,26.3,1049,1
365.1,26.86,1050,1
155.4,26.8,1051,1
2.86,24.1,1052,1
124.1,12.54,1053,1
324.5,17.9,1054,1
518.4,20.9,1055,1
595.5,22.1,1056,1
814,23.7,1057,1
895,25.44,1058,1
913,27.38,1059,1
862,28.4,1060,1
751.9,27.82,1061,1
600.2,28.42,1062,1
416.3,27.62,1063,1
215.5,26.2,1064,1
10.09,22.5,1065,1
67.75,11.08,1066,1
222.8,14.2,1067,1
444,17.2,1068,1
620.1,19.42,1069,1
753.7,21.2,1070,1
853,22.98,1071,1
906,24.36,1072,1
813,25.6,1073,1
808,26.8,1074,1
394.2,26.3,1075,1
454.3,26.94,1076,1
303.3,27.26,1077,1
90,22.88,1078,1
3.41,9.3,1079,1
164.1,10.5,1080,1
361.9,12.46,1081,1
538.1,14.9,1082,1
733.2,16.54,1083,1
818,18.9,1084,1
913,20.42,1085,1
914,21.5,1086,1
853,23.32,1087,1
735.8,23.88,1088,1
563.4,23.96,1089,1
372.9,23.3,1090,1
177.3,21.96,1091,1
11.2,18.94,1092,1
95.8,10.5,1093,1
242.2,14,1094,1
490.7,16.2,1095,1
679.7,19.56,1096,1
871,21.6,1097,1
894,22.72,1098,1
907,23.6,1099,1
882,25.98,1100,1
783.7,27.16,1101,1
633.4,28,1102,1
460,28.7,1103,1
259.1,27.7,1104,1
65.92,26.46,1105,1
16.52,12.9,1106,1
85.7,14,1107,1
430.6,17.76,1108,1
521.7,20.6,1109,1
746.7,22.56,1110,1
641.1,23.22,1111,1
557.8,23.04,1112,1
346,23.3,1113,1
351.6,22.94,1114,1
216,23.3,1115,1
196.8,23.1,1116,1
171.9,24.2,1117,1
132.9,22.9,1118,1
1.09,20.44,1119,1
107.5,9.8,1120,1
323.8,10.36,1121,1
336.2,12.28,1122,1
569.2,13.62,1123,1
1031,14.8,1124,1
795.5,17.56,1125,1
214.9,16.3,1126,1
515.7,18.28,1127,1
148.4,19.44,1128,1
151.7,18.58,1129,1
552.3,18.94,1130,1
315.9,18.4,1131,1
39.16,16.6,1132,1
22.17,5.06,1133,1
215,9.16,1134,1
409.2,11.9,1135,1
558.9,14.08,1136,1
757.9,16.4,1137,1
871,18,1138,1
941,19.42,1139,1
921,20.6,1140,1
871,20.72,1141,1
731.4,21.9,1142,1
549,21.7,1143,1
291.3,21.7,1144,1
174,20.78,1145,1
8.48,19.6,1146,1
72.92,9.2,1147,1
182.2,11.7,1148,1
456.2,13.9,1149,1
600.7,16.12,1150,1
628.7,18,1151,1
533.4,17.52,1152,1
606.2,18.84,1153,1
1073,20.44,1154,1
811,22.12,1155,1
663.8,22.34,1156,1
258.2,21.6,1157,1
120.8,20.6,1158,1
17.89,18.4,1159,1
3.23,12.3,1160,1
32.11,12.3,1161,1
74.16,12.1,1162,1
94.3,11.5,1163,1
148.7,12.1,1164,1
84.8,10.54,1165,1
76.84,10.7,1166,1
152.8,10.76,1167,1
123.8,9.86,1168,1
44.01,10.9,1169,1
189.5,11.3,1170,1
39.43,10.5,1171,1
130.7,10,1172,1
13.88,9.6,1173,1
28.79,6.8,1174,1
110.9,8.2,1175,1
259.9,9.84,1176,1
235.8,12.42,1177,1
781.7,14.24,1178,1
732.8,14.8,1179,1
396.4,15.9,1180,1
1173,17.54,1181,1
421.3,16.02,1182,1
329,16.78,1183,1
306.1,16.8,1184,1
194.9,16.56,1185,1
60.21,15.54,1186,1
1.91,13.4,1187,1
79.1,9.7,1188,1
131.8,10.6,1189,1
232.8,11.5,1190,1
411,13.16,1191,1
